公司名称,产品型号,准入状态
扬州水龙消防器材有限公司,13-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),撤销
扬州市东盛消防救生装备有限公司,13-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
高邮市水花消防器材有限公司,20-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
扬州双星消防科技有限公司,20-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
南安市永恒消防设备有限公司,8-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
泰州市太平洋水带衬胶有限公司,20-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
扬州金仓消防设备有限公司,16－80－25－涤纶长丝/涤纶长丝－聚氨酯(主型),注销
兴化市方圆消防器材有限公司,10-65-25涤纶长丝/涤纶长丝-聚氨酯(主型),注销
江苏四海消防器材有限公司,20-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
湖南省蓝盾消防有限公司,8-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
河北成铭消防器材有限公司,20-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
江苏鲸涛消防装备有限公司,8-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
泰州市飞腾消防器材有限公司,13-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
南通亚龙消防器材有限公司,13-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
泰州市姜龙消防器材有限公司,13-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
福建省百应消防科技有限公司,13-65-40-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
扬州一帆消防器材有限公司,13-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
泰州市开发区振圣水带厂,8-65-25-涤沦长丝/涤沦长丝-聚氨酯(主型),注销
新野县云龙消防器材有限公司,16-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
义乌市金佐消防水带厂,8-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),撤销
泰州市白塔消防水带厂,8-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
江苏爱索新材料科技有限公司,16-65-40-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
泰州华良消防器材有限公司,10-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
高邮市金诺消防器材厂,10-65-25-涤纶长丝/涤纶长丝聚氨酯(主型),注销
泰州市光华消防器材有限公司,8-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型）(主型),注销
上饶福欣消防器材有限公司,8-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
青岛楼山消防器材厂有限公司,13-50-40-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
扬州奔马消防器材有限公司,13-150-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
扬州市飞腾消防科技有限公司,20-80-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
湖南润华新材料有限公司,20-65-40-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
泰州市海洲消防器材有限公司,13-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
福建天广消防有限公司,13-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
泰州市三江消防器材有限公司,10-65-25-涤纶纱/涤纶长丝-聚氨酯(主型),注销
泰州市华鹏消防救护装备有限公司,20-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
高邮市东方消防器材有限公司,20-80-25-涤纶长丝/涤纶长丝-聚氨酯(主型),注销
