公司名,地址,固定电话,主营产品,客户,手机号,公司网站,公司简介,电子邮箱,经营模式,企业类型,城市,公司规模,注册资本,来源网站,记录时间,_url,
深圳市福田区科启达电子商行,深圳 深圳市福田区中航路国利大厦1607,0755-83298239,回收工厂电子料 回收电子元器件 IC 二三极管等 回收电子呆料  电子元件 内存 芯片 晶振 电容电阻  连接器 继电器 传感器 滤波器 模块 字库 集成电路,陈姐,13824335470,,,kqddz@163.com,,,,,,,,http://www.11467.com/shenzhen/co/1037411.htm,http://www.11467.com/shenzhen/co/1037418.htm
潍坊天元防水材料有限公司寿光分公司,潍坊 寿光市台头镇工业园区 - ,0536-18653654914,"销售sbs防水卷材 , 自粘聚合物改性沥青防水卷材 , 聚乙烯丙涤纶高分子复合防水卷材 , PVC , tpo ",李女士,18653654914,,,961918948@qq.com,,,,,,,,http://www.11467.com/weifang/co/177138.htm,
固安县温泉休闲商务产业园区晴空滤芯厂,河北省廊坊市固安县温泉休闲商务产业园区杨各庄村,0316-6175948,"滤芯 , 过滤器 , 滤清器 , 除尘设备 , 除尘滤筒 , 液压油滤芯 ",张辉,15932620787,,,qk555234@126.com,,,,,,,,https://www.11467.com/qiye/76756052.htm,
江苏苏通电气设备有限公司,扬州 江苏江都市江都浦头工业园区,86 0514 87968010/86426427,"电力测试导线鳄鱼夹 , 测试钳插片接线柱 , 全绝缘夹高空接线钳 , 高压试验电缆大电流线 , 移动电缆盘 , 便携式检验电源箱 , 高低压绝缘垫 , 试验屏蔽线 , 接线盒对线器 , 仪表箱仪器运输车 , 绝缘绳软梯 , 纤维吊装带 , 接地线接地棒 , 安全带伸缩隔离带 , 标志牌安全警示灯 , 导线卡线器紧线器 , 绝缘梯检修架 , 安全围栏围网 , 高压验电器核相器 , SF6监测监控仪表 ",崔红俊,未提供,,,225218,,,,,,,,https://www.11467.com/yangzhou/co/109133.htm,
泰州市海港成套设备安装有限公司,中国 江苏 泰州市 泰州市田河工业区,(0523)86 523  86939398/86935588,"尼龙软质吊带 ,  吊绳  , 安全带 , 安全网 , 拆卸工具 , 液压工具 , 酸洗吊装带 , 耐碱吊装带 , 尼龙软梯 ",蔡成林,13805263397,,,225322,,,,,,,,https://www.11467.com/taizhoushi/co/30094.htm,
缙云县宝利特机械制造有限公司,丽水 中国 浙江 缙云县 壶镇镇聚贤路58号,86 0578 3553243,"永磁吊装起 , 带锯条 , 强磁起重器 , 永磁吸盘 , 合金带锯条 , 双金属带锯条 , 扩孔机 , 碾环机 , 吸盘 ",王有军,13906781621,,,321404,,,,,,,,https://www.11467.com/lishui/co/26288.htm,
泰州市全力织造厂,江苏省泰州市高港区永安洲镇标准厂房区5号,086-52386927755,吊装带  酸洗吊装带 耐酸吊装带  捆绑带 柔性吊装带 扁平吊装带,陈永海,13815996488,,,quanli596@163.com,,,,,,,,https://www.11467.com/taizhoushi/co/28306.htm,
泰州市玺文绳网带有限公司,泰州 泰州市寺巷街道 - ,52386870798,"实体生产：电力牵引绳 , 迪尼玛绳 , 绝缘蚕丝绳 , 绝缘索桥 , 登山绳 , 吊绳 , 吊装带 , 阻燃绳 , 绝缘绳 , 清洗绳 , 吊网 , 绝缘网 , 跨越网 , 软梯 , 阻燃绳 , 绝缘滑车 , 安全网 , 定制各种绳网带电力器材 ",刘先生,13852864619,,,1154980088@qq.com,,,,,,,,https://www.11467.com/taizhoushi/co/62309.htm,
泰州市金光电子织造厂,扬州 江苏泰州市海陵区 - ,0523-86342479,"迪尼玛绳 , 电力牵引绳 , 绝缘蚕丝绳 , 安全绳 , 拖车绳 , 吊装网 , 绝缘网 , 健身绳 , 安全带 , 吊装带 ",陈海妹,13814455759,,,1258980088@qq.com,,,,,,,,https://www.11467.com/yangzhou/co/42877.htm,
河北东圣吊索具制造有限公司,保定 清苑东闾工业区 - ,-312,"吊装带 , 手拉葫芦 , 电动葫芦 , 手扳葫芦 , 多功能提升机 , 卷扬机 , 防坠器 , 弹簧平衡器 , 千斤顶 , 吸盘 , 起重链条 , 建筑机械 , 小型搅拌机 , 电力工具 , 卸扣 , 滑车 , 吊运机 , 叉车 , 手动搬运车 , 吊索具 , 起重吊钳 , 石材夹具 ",崔宇菲,15830934171,,,1925641390@qq.com,,,,,,,,https://www.11467.com/qiye/93226050.htm,
泰兴市阳光索具有限公司,泰州 泰兴市宣堡镇工业集聚区3号,0523-87659266,"平衡吊梁 , 钢坯夹具 , 钢板起重钳 , 链条成套索具 , 尼龙绳 , 复合钢丝绳吊索具 , 特种纤维吊装带等。 ",薛长桂,18052678777,,,txxgsj@126.com,,,,,,,,https://www.11467.com/taizhoushi/co/35013.htm,
南京路基弗尔起重机械有限公司,南京 南京市雨花台区梅山街道九号路磊博石材市场G幢9号,2586801790,"电动葫芦 , 手拉葫芦 , 手扳葫芦 , 钢丝绳 , 卸扣 , 吊装带 , 起重滑车 , 吊索具 , 电子吊秤 , 电力机具 , 液压机具 , 起重链条 , 吊钩 , 起重搬运设备 , 千斤顶 , 高空作业工具 , 行车配件 , 五金工具 , 吊机 , 船用花兰 , 链条 ",杨森,13505159657,,,0,,,,,,,,https://www.11467.com/nanjing/co/160163.htm,
宁波北仑起力索具有限公司,宁波 宁波市北仑区大碶徐洋峙山工业区1号,0574-86136822,"捆绑带 , 拉紧器 , 拖车带 , 吊装带 , 柔性吊带 , 锌扣带 , 安全带 , 涤纶织带及织带配套五金件 ",李武陵,18268657093,,,34245705632@qq.com,,,,,,,,https://www.11467.com/ningbo/co/232245.htm,
清苑县力邦起重机械制造有限公司,保定 保定市清苑县东闾乡东闾村,0312 - 6770968,"电动葫芦 , 手动葫芦 , 搅拌机 , 混凝土搅拌机 , 小型搅拌机 , 砂浆搅拌机 , 吊装带 , 白色吊装带 , 彩色吊装带 , 柔性吊装带 , 卷扬机 , 电动卷扬机 , 链条起重葫芦 , 防坠器 , 平衡器 , 永磁吸盘 , 液压叉车 , 饲料搅拌机 , 弹簧平衡器 , 建筑防坠器 ",崔宇菲,18833266632,,,2910840532@qq.com,,,,,,,,https://www.11467.com/baoding/co/92400.htm,
大连盛世友信机电设备有限公司,辽宁省大连市沙河口区华北路364号7-21,0411-86667761,"手拉葫芦 , 吊装带 , 吊装钳 , 电动葫芦 , 千斤顶 , 手扳葫芦 ,  吊钩  ,  链条  ,  滑车  , 捆绑器 ",张龙,13591801279,,,2359786208@qq.com,,,,,,,,https://www.11467.com/dalian/co/45983.htm,
河北世纪启琛船舶设备有限公司,河北保定高新技术开发区朝阳北大街1898号,0312-6793536,"吊装带 , 钢板钳 , 美标卸扣 , G80钩环 , 起重链条 , 舱盖链条 , 不锈钢链条 , 矿用链条 , 船用锚链和附件 , 船锚和锚卸扣。 ",张娇娇,15830207944,,,century_treasure@163.com,,,,,,,,https://www.11467.com/qiye/95752750.htm,
江苏荣鑫通用设备有限公司,泰州 泰州市高港区口岸街道江平东路599号,13901438583,"吊具  , 吊装设备 ,  普通机械及配件  , 绳网带 , 金属制品 , 安全网 , 安全带 ",戴纪荣,15165008350,,,515016701@qq.com,,,,,,,,https://www.11467.com/taizhoushi/co/28480.htm,
河北德斯克起重机械制造有限公司,河北保定清苑东闾开发区 - ,15097436686,"钢丝绳电动葫芦 , 环链电动葫芦 , 防爆电动葫芦 , 气动葫芦 , 舞台葫芦 , 手板葫芦 , 手拉葫芦 , 卷扬机 , 提升机 , 永磁起重器 , 吊装带 ",魏雪萍,15097436686,,,2524817702@qq.com,,,,,,,,https://www.11467.com/baoding/co/96404.htm,
上海翔虎起重机械有限公司,中国 上海市闵行区 金都路888号 全国统一服务热线400-0808-178,86 021  31263823//400-0808-178,"电动葫芦 , 手拉葫芦 , 链条电动葫芦 , 微型电动 , 起重滑车 , 起重链条 , 吊装带 , 起重机械配件 ",刘占峰,15611611119,,,210010,,,,,,,,https://www.11467.com/shanghai/co/519130.htm,
泰州市忠义绳网带厂,泰州 泰州医药高新技术产业开发区寺巷街道二桥社区一组23号,52386171788,"吊带  , 吊装带 , 柔性吊带 , 酸洗吊带 , 扁平吊带 , 安全带 , 化纤吊带 ,  合成纤维吊装带  , 尼龙吊带 ",张粉芳,13852604960,,,1017812175,,,,,,,,https://www.11467.com/taizhoushi/co/29277.htm,
泰州市汇力起重装备有限公司,中国 江苏 泰州市 口岸工业园区远东大道东首,(0523)0 523  82123587/86919708,"软梯  ,  吊网  , 吊装带 , 尼龙绳带 , 绳  , 钢板吊钳 , 捆绑器 , 登山绳 , 牵引带 , 起重链 , 钢坯吊具 ",徐茂亭  ,13852619079,,,225321,,,,,,,,https://www.11467.com/taizhoushi/co/26856.htm,
泰州市祥泰设备配套有限公司,泰州 泰州市高港区口岸街道集成村7组,13852618185,"安全带 ,  索具  , 电缆网套 , 照明灯具 , 吊装带 , 安全网 ",孙杰雄,13852735884,,,cnxingtai@126.com,,,,,,,,https://www.11467.com/taizhoushi/co/31720.htm,
泰州市开发区新立吊装设备厂,中国 江苏 泰州市 江苏省泰州市寺巷镇大王一组,86 0523  052386818751,"吊装带 , 扁平吊带 , 吊装绳 , 登山绳 , 柔性吊带 , 编织绳 ,  索具  , 安全带 , 安全绳 , 钢丝加芯绳 ",王桃 ,15050507721,,,225300,,,,,,,,https://www.11467.com/taizhoushi/co/31983.htm,
保定市起通索具设备有限公司,中国 河北 保定市 保定市阳光北大街427号,86-03123159533,"吊装带 , 插套机 , 压套机 ,  吊环  , 起重钳 ,  链条  ,  滑车  ,  卸扣  ,  吊钩  , 钢丝绳吊索 , 钢丝绳切断器 ",王佳宁,18603222356,,,marketing@bdqitong.cn,,,,,,,,https://www.11467.com/baoding/co/54700.htm,
保定市世森商贸有限公司,保定 保定市新市区韩村乡中鲁岗村,15175228080,"起重工具 , 手拉葫芦 , 电动葫芦 , 多功能提升机 , 吊运机 , 千斤顶系列 , 吊装索具 , 吊装带 , 起重货勾 , 起重滑车系列 , 矿用滑车系列 , 手摇/电动绞盘 , 卸扣/花兰螺丝系列/ , 天车配件 , 汽车拉紧器/紧线器 , 手扳葫芦 , 手动液压搬运车/堆高车 , 永磁吸盘/磁力吊 , 电子吊秤 , 安全防护系列 ",李帅,13731202531,,,723873194@qq.com,,,,,,,,https://www.11467.com/baoding/co/78997.htm,
河北长江中远吊索具有限公司,河北保定徐水县裕丰西路 - ,86-03128611186/8611185,"钢丝绳吊具 , 紧固带 , 栓紧器 ,  卧式拉力试验机  ,  合成纤维吊装带  , 无接头钢丝绳圈 , 钢坯夹钳 , 钢坯夹具 , 钢板吊钳 , 钢丝绳插套机 , 钢丝绳压套机 , 拉力试验机 ,  吊具  ,  夹具  ,  吊梁  , 吊装带 ,  滑车  , 手拉葫芦 , 千斤顶 , 索具备件 ",张建伟,未提供,,,63975585@qq.com,,,,,,,,https://www.11467.com/baoding/co/80622.htm,
东莞市茶山永佳织带厂,东莞 东莞市茶山镇下朗村雅苑102号,86-076989760345,"织带 , 松紧带 , 尼龙包边带 , 粘扣带 ,  鞋带 ,  厂牌挂绳 , 胸卡挂绳 , 手机挂绳 , 防静电织带 , 尼龙织带 , 热转印织带 , 民族风织带 , 提花松紧带 , 帆布商标带 , 白色吊装带 , 彩色吊装带 , 纤维吊装带 , 金属头鞋带 , 个性鞋带 , 弹力鞋带 ",刘述军,13322610700,,,523000,,,,,,,,https://www.11467.com/dongguan/co/604364.htm,
徐水县奥发吊索具制造有限公司,保定 河北 徐水县 西张丰村 - ,086-03128973266/8973366/8973388,"钢丝绳压套机 , 钢丝绳插套机 , 吊装带 , 钢丝绳索具 , 电动吊具 , 钢坯夹具 ,  直销钢丝绳压套机 ,  手动钢丝绳压套机 ,  500T钢丝绳压套机 ,  钢丝绳插套机加工 ,  液压钢丝绳插套机 ,  扁平涤纶吊装带 ,  双扣扁平吊装带 ,  酸洗扁平吊装带 , 柔性吊装带 ,  不锈钢丝绳索具 ,  插编钢丝绳吊索具 ,  钢厂电动吊具 , 双层钢坯夹具 , 起吊钢坯夹具 ",张康,15131219238,,,72550,,,,,,,,https://www.11467.com/baoding/co/108464.htm,
武汉市国玲昌盛五金起重设备有限公司,武汉 武汉市江汉区民意一路19号,15377028880,"起重滑车 , 手拉葫芦 , 钢丝绳 , 吊装带 ,  索具  , 起重钢板钳 ",赵国玲,18171516078,,,15377028880@163.com,,,,,,,,https://www.11467.com/wuhan/co/77322.htm,
佛山市银蛇索具有限公司,佛山 佛山市南海区里水镇和顺大道,13927211992,"吊装带 , 捆绑器 , 拖车绳 , 安全网 , 收紧器 , 双排钩 ",罗生,13927211992,,,3309205487@qq.com,,,,,,,,https://www.11467.com/foshan/co/476713.htm,
力夫特索具集团中国公司,江苏省泰州市田河江平东路598号,0523-86935818,"专业生产合成纤维吊带 , 柔性吊带 , 环形柔性吊带 , 扁平吊带 , 丙纶扁平吊带 , 酸洗吊带 , 石油管道专用吊带 , 大吨位吊索 , 货车捆绑器 , 吊装带 , 起重吊带 , 大吨位吊带 , 环型吊装带 , 异型吊装带 , 拉紧器 , 紧固器 , 捆绑带 ,  ",王芳,13961011588,,,cnlift@hotmail.com,,,,,,,,https://www.11467.com/taizhoushi/co/61073.htm,
石家庄市桥东区鑫力德起重机械经销处,河北 石家庄市桥东区 桥东区润德国际五金机电城A6区51号,031187259010/400-007-5787,"手动葫芦 , 电动葫芦 , 吊运机 , 船用滑车 , 矿用滑车 , 滑轮组 , 钢板吊钳 , 模锻吊钳 , 吊索具 , 吊装带 ,  各种千斤顶 , 液压机械 , 液压叉车 ,  吊钩 , 吊环 ,  链条 ,  吊篮 ,  卸扣 , 遥控开关 , 手动葫芦配件 , 电动葫芦配件 ",刘伟芳,15032069958,,,50000,,,,,,,,https://www.11467.com/qiye/19910305.htm,
江苏正申索具有限公司,泰州 泰州江苏省泰州市田河振兴北路,0523-86935897,"索具 , 吊索具 , 钢丝绳索具 , 链条索具 , 吊装带 ",孙朵,13775664521,,,sales@zssuoju.com.cn,,,,,,,,https://www.11467.com/taizhoushi/co/30138.htm,
钢丝绳电动葫芦北京凌鹰,北京 北京市昌平区东小口 - ,010-57288876,"钢丝绳电动葫芦 , 手拉葫芦 , 手板葫芦 , 电动葫芦 , 环链电动葫芦 , 吊装带 ",黎经理,18611422090,,,bjlyqzjx@163.com,,,,,,,,https://www.11467.com/beijing/co/33213.htm,
北京腾利恒新起重有限公司,北京 北京市怀柔区雁栖经济开发区,010-57075172,"1起重机2电动葫芦3手动葫芦4磁力吊 , 吊钳 , 滑车 , 单轨小车 , 吊装带 , 捆绑器等5千斤顶油车6配件系列（80级起重链条 , 手拉链条 , 葫芦罩壳吊钩等）。 ",小刘,13911893394,,,tenglihengxin@126.com,,,,,,,,https://www.11467.com/beijing/co/488561.htm,
沈阳友谊起重设备有限公司,沈阳 沈阳市铁西区滑翔艳粉新村64号,024-66682200,"电动葫芦 , 手拉葫芦 , 手扳葫芦 , 搬运车 , 堆高车 , 搬运小坦克 , 吊运机 , 磁力吊 , 弹簧平衡器 , 吊装带 , 起重滑车 , 手摇绞盘 , 多功能提升机 , 起重索具及各种配套产品。 ",张经理,13555817352,,,794290905@qq.com,,,,,,,,https://www.11467.com/shenyang/co/81231.htm,
泰州市飞特尼龙绳网带有限公司,泰州 net - ,86 0523  86933286/86933288,"尼龙绳 , 安全网 , 防坠器 ,  软梯  , 安全带 ,  吊具  , 吊装带 , 尼龙吊绳 , 尼龙吊带 , 扁平吊带 ",叶春生 ,15996017188,,,615588911@qq.com,,,,,,,,https://www.11467.com/taizhoushi/co/31984.htm,
太原市晋昌盛起重索具有限公司,太原 太原市尖草坪区佳晟广场 - ,0351-3185557,"手拉葫芦 , 卷扬机 , 千斤顶 , 起重滑车 , 吊装带 , 卸扣 , 链条手拉葫芦 , 晋阳湖手拉葫芦 , HSZ手拉葫芦 , 环链手拉葫芦 , 不锈钢手拉葫芦 , JK快速卷扬机 , JM慢速电控卷扬机 , 移动卷扬机 , 螺旋千斤顶 , 液压千斤顶 , 电 ",郭女士,18635183390,,,228608751@qq.com,存续,,,,11人,,,https://www.11467.com/taiyuan/co/37864.htm,
南京恒力化纤织造有限公司,南京 南京中山科技园永成路10号17号楼,18251907809,"吊装带 , 捆绑器 ",王克祥,13951027673,,,460011035@qq.com,在业,,,,http://www.hl-sling.,,,https://www.11467.com/nanjing/co/72099.htm,
东方大力神（天津）机械设备有限公司,天津 天津市滨海新区塘汉公路2号,022-65613097,"生产销售：起重工具 , 钢丝绳 , 卸扣 , 钢板钳 , 起重链条 , 滑车 , 吊钩吊环 , 吊装带 , 拉紧器 ",刘经理,18526400113,,,526592856@qq.com,存续,,,,80人,,,https://www.11467.com/tianjin/co/275431.htm,
济南特赛夫防护用品有限公司,济南 济南市天桥区历山北路198号,86-053188620098,"阻燃安全网 , 密目式安全网 , 防护网 , 安全带 , 架子工安全带 , 电工安全带 , 吊装带 , 安全绳 , 安全帽 , 防坠器 , 自锁器 , 钢丝绳自锁器 , 加工定做各类绳网 , 爬网。 ",孙前前,15098802244,,,tesafe@163.com,2010年11月23日,,,,http://www.tesafe.com,,,https://www.11467.com/jinan/co/113917.htm,
天津市劲凯起重设备商贸有限公司,天津 南开区 - ,86-022-27329955,"手拉葫芦 , 千斤顶 , 电动葫芦 , 手扳葫芦 , 钢丝绳 ,  吊钩  , 单轨小车 , 搬运小坦克 ,  卸扣  , 吊装带 ",李女士,未提供,,,872864741@qq.com,存续（在营、开业、在册）,,,,http://www.jinkaiqizhong.cn,,,https://www.11467.com/tianjin/co/141262.htm,
天津市百汇大地起重吊索具有限公司,天津 天津市北辰区京津公路东侧郎元工业区,(022)86 22  26989566/13702039807,"合成纤维吊装带  , 吊带护套 , 坚固器 , 钢丝绳索具 , 链条索具 , 起重吊装钳 ,  吊环  ,  吊钩  ,  卸扣 ",甄光,13001322856,,,461503350@qq.com,2006年10月18日,,,,http://www.tjbhdd.cn,,,https://www.11467.com/tianjin/co/14317.htm,
河北神亚起重机械制造有限公司,保定 清苑县神亚工业园区 - ,0312-8152895,手动葫芦 HSZ圆形手拉葫芦 HSZ-C三角形手拉葫芦 维多手拉葫芦 VITL手拉葫芦 东洋手拉葫芦 TOYO手拉葫芦 手扳葫芦 丙纶吊装带 涤纶吊装带 柔性吊装带 PA微型电动葫芦 CD1电动葫芦 KCD提升机 卷扬机 吊运机 千斤顶 吊索具,马经理,17325203895,,,shenyqizhong@163.com,存续（在营、开业、在册）,,,,5人,,,https://www.11467.com/baoding/co/83673.htm,
河北创联吊索具制造有限公司,保定 保定市徐水区安肃镇东于庄村,0312-8602966,吊装带 吊索具 c型吊具,李硕,15931781723,,,1397917753@qq.com,580万人民币 (万元),,,,有限责任公司,,,https://www.11467.com/qiye/80346466.htm,
南京市德力特索具有限公司,南京 南京市浦口高新开发区盘城工业园5-12号,-25,"涤纶扁平吊装带 , 圆形吊装带 , 捆绑带 , 拉紧器 , 汽车拖带。安全带等 ",孟翠翠,15150623325,,,Mandy@dlt-sling.com,南京企业网 下关区 下关区小市,,,,,,,https://www.11467.com/nanjing/co/187149.htm,
杨西美(个体经营),中国 山东 临沂 河东区 九曲镇西张官庄村工业园 ,86 0539 8090144,"铸铁吊滑车 , pulley , 滑轮 , 铸铁黑滑轮 , 京力起重滑车 , 紧车带 , 吊装带 , 紧线器 , 毛刷 , 滚筒刷 , 手拉葫芦 , 铸铁单双轮吊滑车 ",杨西美,18854959585,,,276034,7662739,,,,,,,https://www.11467.com/linyi/co/107069.htm,
东莞市豫新电子科技有限公司,广东省东莞市樟木头镇裕丰莞樟东路458号,86-076982101735,"LED日光灯支架  ,  LED灯管支架  , 日光灯支架 , LED格栅灯盘 ,  LED三防灯支架  , LED灯盘 ,  LED日光灯支架  ,  LED日光灯支架  ,  LED日光灯支架  , 日光灯支架 , 灯管支 ",丁会芳,13925830364,,,76222434@qq.com,生产加工,,,,http://dgsyuxin.cn.alibaba.com,,,https://www.11467.com/dongguan/co/503763.htm,
科实新材料（东莞）有限公司,广州东莞 - ,-769,"烫带过浆胶浆 , 硬挺树脂 , 织带加硬定型胶浆 ",周小姐,18664247972,,,2112029526@qq.com,,,,,,,,https://www.11467.com/qiye/93219910.htm,
泰州市开发区海光化纤织造有限公司,泰州 泰州市开发区寺巷工业园三野路4-58号,0523-86812559,"安全带 , 安全绳 , 安全网 , 迪尼玛绳 , 蚕丝绳 , 各种牵引绳 , 吊索具等 ",陈海堂,13914404730,,,tzhghx@139.com,在业,,,,20 (万元),,,https://www.11467.com/taizhoushi/co/28476.htm,
江苏耐特尔绳带有限公司,泰州 泰州市高港区永安洲镇标准厂房18号,0523-86908777,"启动绳引擎绳 , 编织绳绞制绳 , 船用缆绳拖绳 , 电力牵引绳 , 吊装绳吊装带 , 高分子强力绳 , 登山绳引纸绳 , 安全带安全绳 , 钢丝绳吊索具 , 人体防坠器 , 尼龙软梯绳梯 , 安全网吊货网 , 启动绳 , 起重吊链 ",何小姐,18082077155,,,htrgroup@263.net,在业,,,,http://,,,https://www.11467.com/taizhoushi/co/34885.htm,
常州嘉视码信息技术有限公司,常州 常州市武进区湖塘纺织城228号,-519,"碳带 , 标签打印机 ",闵勇,18915511091,,,byrin2003@163.com,,,,,,,,https://www.11467.com/qiye/93453494.htm,
河北邦强起重吊索具制造有限公司,河北省保定市清苑区东闾乡东闾村,18932698999,"扁平吊装带 , 柔性吊装带 , 百色吊装带 , 彩色吊装带 , 大吨位吊装带 ",杜贺,18730229255,,,3083225799@qq.com,500万人民币 (万元),,,,80346465,,,https://www.11467.com/qiye/80346465.htm,
泰州市泰极吊装设备有限公司,泰州 泰州市高港区许庄三星北路,18051070151,"扁平吊装带 , 吊装绳 , 成套链条 , 卸扣 , 吊钩 , 蝴蝶扣 , 钢丝绳 , 收紧器 , 起重钳 , 平衡吊梁 ",袁亚梅,18936798506,,,2572268647@qq.com,100万元人民币 (万元),,,,87860914,,,https://www.11467.com/qiye/87860914.htm,
